,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,191004.99478714162,65.0,8450,181130.53851444292,181294.5186751233,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,180921.19589041095,7,5,15,2003,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,6,196.0,0.75,184034.89625585024,225230.44204018547,202688.4789644013,181492.2277448071,163439.24823410696,235413.72009569377,706,180921.19589041095,0,150,856,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,856,854,0,1710,1,0,2,1,3,1,0.75,8,180921.19589041095,0,0.75,194411.47318611987,2003.0,202068.86966824645,2,548,0.5,0.5,186433.973880597,0,61,0,0,0,0,0.66,0.5,181007.1793814433,0,2,2008,180921.19589041095,175202.21953255427,208500
1,2,20,191004.99478714162,80.0,9600,181130.53851444292,181294.5186751233,164754.81837837838,180183.74675819985,177934.5744680851,179956.7995658466,180921.19589041095,142475.4814814815,181169.40553633217,185763.80737704918,175985.4779614325,6,8,42,1976,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,184034.89625585024,149805.714511041,202688.4789644013,181492.2277448071,257689.80597014926,161573.06818181818,978,180921.19589041095,0,284,1262,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,1262,0,0,1262,0,1,2,0,3,1,0.5,6,180921.19589041095,1,0.5,194411.47318611987,1976.0,202068.86966824645,2,460,0.5,0.5,186433.973880597,298,0,0,0,0,0,0.66,0.5,181007.1793814433,0,5,2007,180921.19589041095,175202.21953255427,181500
2,3,60,191004.99478714162,68.0,11250,181130.53851444292,181294.5186751233,206101.6652892562,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,180921.19589041095,7,5,17,2002,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,6,162.0,0.75,184034.89625585024,225230.44204018547,202688.4789644013,181492.2277448071,192789.65789473685,235413.72009569377,486,180921.19589041095,0,434,920,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,920,866,0,1786,1,0,2,1,3,1,0.75,6,180921.19589041095,1,0.5,194411.47318611987,2001.0,202068.86966824645,2,608,0.5,0.5,186433.973880597,0,42,0,0,0,0,0.66,0.5,181007.1793814433,0,9,2008,180921.19589041095,175202.21953255427,223500
3,4,70,191004.99478714162,60.0,9550,181130.53851444292,181294.5186751233,206101.6652892562,180183.74675819985,181623.4258555133,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,180921.19589041095,7,5,103,1970,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,184034.89625585024,132291.07534246575,138866.29591836734,213599.9076923077,163439.24823410696,161573.06818181818,216,180921.19589041095,0,540,756,182021.19537815126,156858.87136929462,186186.7098901099,186810.63745318353,961,756,0,1717,1,0,1,0,3,1,0.75,7,180921.19589041095,1,0.75,180921.19589041095,1998.0,137570.4606413994,3,642,0.5,0.5,186433.973880597,0,35,272,0,0,0,0.66,0.5,181007.1793814433,0,2,2006,180921.19589041095,146526.62376237623,140000
4,5,60,191004.99478714162,84.0,14260,181130.53851444292,181294.5186751233,206101.6652892562,180183.74675819985,177934.5744680851,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,180921.19589041095,8,5,18,2000,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,6,350.0,0.75,184034.89625585024,225230.44204018547,202688.4789644013,181492.2277448071,206643.42081447964,235413.72009569377,655,180921.19589041095,0,490,1145,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,1145,1053,0,2198,1,0,2,1,4,1,0.75,9,180921.19589041095,1,0.5,194411.47318611987,2000.0,202068.86966824645,3,836,0.5,0.5,186433.973880597,192,84,0,0,0,0,0.66,0.5,181007.1793814433,0,12,2008,180921.19589041095,175202.21953255427,250000
5,6,50,191004.99478714162,85.0,14115,181130.53851444292,181294.5186751233,206101.6652892562,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,143116.74025974027,5,5,25,1995,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,184034.89625585024,180921.19589041095,202688.4789644013,181492.2277448071,163439.24823410696,235413.72009569377,732,180921.19589041095,0,64,796,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,796,566,0,1362,1,0,1,1,1,1,0.5,5,180921.19589041095,0,0.75,194411.47318611987,1993.0,137570.4606413994,2,480,0.5,0.5,186433.973880597,40,30,0,320,0,0,0.66,0.5,181007.1793814433,700,10,2009,180921.19589041095,175202.21953255427,143000
6,7,20,191004.99478714162,75.0,10084,181130.53851444292,181294.5186751233,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,8,5,14,2005,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,30,186.0,0.75,184034.89625585024,225230.44204018547,327041.04132231406,181492.2277448071,206643.42081447964,235413.72009569377,1369,180921.19589041095,0,317,1686,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,1694,0,0,1694,1,0,2,0,3,1,0.75,7,180921.19589041095,1,0.75,194411.47318611987,2004.0,202068.86966824645,2,636,0.5,0.5,186433.973880597,255,57,0,0,0,0,0.66,0.5,181007.1793814433,0,8,2007,180921.19589041095,175202.21953255427,307000
7,8,60,191004.99478714162,0.0,10382,181130.53851444292,181294.5186751233,206101.6652892562,180183.74675819985,181623.4258555133,179956.7995658466,180921.19589041095,215184.2105263158,181169.40553633217,185763.80737704918,180921.19589041095,7,6,45,1973,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,30,240.0,0.5,184034.89625585024,149805.714511041,202688.4789644013,181492.2277448071,192789.65789473685,161573.06818181818,859,151101.0,32,216,1107,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,1107,983,0,2090,1,0,2,1,3,1,0.5,7,180921.19589041095,2,0.5,194411.47318611987,1973.0,202068.86966824645,2,484,0.5,0.5,186433.973880597,235,204,228,0,0,0,0.66,0.5,181007.1793814433,350,11,2009,180921.19589041095,175202.21953255427,200000
8,9,50,126316.83027522935,51.0,6120,181130.53851444292,181294.5186751233,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,135091.66666666666,181169.40553633217,185763.80737704918,143116.74025974027,7,5,87,1950,171483.95617879054,179803.6792189679,194573.0,180921.19589041095,0,0.0,0.5,184034.89625585024,132291.07534246575,138866.29591836734,181492.2277448071,163439.24823410696,180921.19589041095,0,180921.19589041095,0,952,952,182021.19537815126,156858.87136929462,186186.7098901099,107675.44444444444,1022,752,0,1774,0,0,2,0,2,2,0.5,8,146385.48387096773,2,0.5,180921.19589041095,1931.0,137570.4606413994,2,468,0.25,0.5,186433.973880597,90,0,205,0,0,0,0.66,0.5,181007.1793814433,0,4,2008,180921.19589041095,146526.62376237623,129900
9,10,190,191004.99478714162,50.0,7420,181130.53851444292,181294.5186751233,164754.81837837838,180183.74675819985,181623.4258555133,179956.7995658466,124834.05172413793,135091.66666666666,106500.0,128432.25806451614,110150.0,5,6,79,1950,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,184034.89625585024,132291.07534246575,138866.29591836734,181492.2277448071,163439.24823410696,235413.72009569377,851,180921.19589041095,0,140,991,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,1077,0,0,1077,1,0,1,0,2,2,0.5,5,180921.19589041095,2,0.5,194411.47318611987,1939.0,202068.86966824645,1,205,0.75,0.5,186433.973880597,0,4,0,0,0,0,0.66,0.5,181007.1793814433,0,1,2008,180921.19589041095,175202.21953255427,118000
10,11,20,191004.99478714162,70.0,11200,181130.53851444292,181294.5186751233,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,5,53,1965,218876.93356643355,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,184034.89625585024,149805.714511041,138866.29591836734,181492.2277448071,163439.24823410696,146889.24812030076,906,180921.19589041095,0,134,1040,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,1040,0,0,1040,1,0,1,0,3,1,0.5,5,180921.19589041095,0,0.75,180921.19589041095,1965.0,137570.4606413994,1,384,0.5,0.5,186433.973880597,0,0,0,0,0,0,0.66,0.5,181007.1793814433,0,2,2008,180921.19589041095,175202.21953255427,129500
11,12,60,191004.99478714162,85.0,11924,181130.53851444292,181294.5186751233,206101.6652892562,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,180921.19589041095,9,5,13,2006,218876.93356643355,179803.6792189679,180921.19589041095,180921.19589041095,30,286.0,1.0,184034.89625585024,225230.44204018547,327041.04132231406,181492.2277448071,163439.24823410696,235413.72009569377,998,180921.19589041095,0,177,1175,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,1182,1142,0,2324,1,0,3,0,4,1,1.0,11,180921.19589041095,2,0.75,254751.73863636365,2005.0,240052.6903409091,3,736,0.5,0.5,186433.973880597,147,21,0,0,0,0,0.66,0.5,181007.1793814433,0,7,2006,180921.19589041095,180921.19589041095,345000
12,13,20,191004.99478714162,0.0,12968,181130.53851444292,181294.5186751233,239833.36585365853,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,6,56,1962,218876.93356643355,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,184034.89625585024,149805.714511041,138866.29591836734,181492.2277448071,163439.24823410696,161573.06818181818,737,180921.19589041095,0,175,912,182021.19537815126,142362.8761682243,186186.7098901099,186810.63745318353,912,0,0,912,1,0,1,0,2,1,0.5,4,180921.19589041095,0,0.75,180921.19589041095,1962.0,137570.4606413994,1,352,0.5,0.5,186433.973880597,140,0,0,0,176,0,0.66,0.5,181007.1793814433,0,9,2008,180921.19589041095,175202.21953255427,144000
